event_time,event_mag,station,phase,pn_time,confidence,matched,residual
2023-04-04 22:23:17.820,4.41,AASB,P,2023-04-04 22:23:44.869200,0.8725715,True,0.0692
2023-04-04 22:23:17.820,4.41,BKS,P,2023-04-04 22:23:40.234538,0.6224398,True,0.094538
2023-04-04 22:23:17.820,4.41,BKS,S,2023-04-04 22:24:01.694538,0.47403777,False,
2023-04-04 22:23:17.820,4.41,BLUE,P,2023-04-04 22:23:47.339200,0.86233807,True,0.0992
2023-04-04 22:23:17.820,4.41,BRIB,P,2023-04-04 22:23:40.339200,0.7171668,True,0.1292
2023-04-04 22:23:17.820,4.41,BRIB,S,2023-04-04 22:24:01.749200,0.3049271,False,
2021-07-09 00:27:46.560,4.41,BUCR,P,2021-07-09 00:28:04.075000,0.8611277,True,0.025
2021-07-09 00:27:46.560,4.41,BUCR,P,2021-07-09 00:28:16.535000,0.4742343,False,
2021-07-09 00:27:46.560,4.41,CMB,P,2021-07-09 00:28:01.709533,0.93147266,True,-0.020467
2021-07-09 00:27:46.560,4.41,CMB,S,2021-07-09 00:28:12.499533,0.69798154,True,-0.150467
2021-07-09 00:27:46.560,4.41,HELL,P,2021-07-09 00:28:20.059200,0.91719115,True,-0.0408
2021-07-09 00:27:46.560,4.41,HELL,P,2021-07-09 00:28:43.929200,0.31308737,False,
2021-07-09 00:27:46.560,4.41,HELL,S,2021-07-09 00:28:43.939200,0.3390718,False,
2021-07-09 00:27:46.560,4.41,JEPS,P,2021-07-09 00:28:20.735000,0.90107477,True,0.105
2021-07-09 00:27:46.560,4.41,JEPS,S,2021-07-09 00:28:46.305000,0.4019077,False,
2021-07-09 00:27:46.560,4.41,KARE,P,2021-07-09 00:28:20.495000,0.9203827,True,0.045
2021-07-09 00:27:46.560,4.41,KARE,S,2021-07-09 00:28:45.005000,0.3629229,False,
2020-02-01 18:36:54.340,4.41,BUCR,P,2020-02-01 18:37:13.780000,0.8360662,True,0.08
2020-02-01 18:36:54.340,4.41,BUCR,S,2020-02-01 18:37:27.140000,0.5640976,True,0.02
2020-02-01 18:36:54.340,4.41,CMB,P,2020-02-01 18:37:18.174536,0.8570878,True,0.064536
2020-02-01 18:36:54.340,4.41,CMB,S,2020-02-01 18:37:35.654536,0.41555816,False,
2020-02-01 18:36:54.340,4.41,KARE,P,2020-02-01 18:37:15.060000,0.9115516,True,0.05
2020-02-01 18:36:54.340,4.41,KARE,S,2020-02-01 18:37:30.170000,0.7237426,False,
2020-02-01 18:36:54.340,4.41,KCC,P,2020-02-01 18:37:03.454538,0.92551136,True,0.024538
2020-02-01 18:36:54.340,4.41,KCC,S,2020-02-01 18:37:09.904538,0.7607621,True,0.034538
2020-02-01 18:36:54.340,4.41,LEGD,P,2020-02-01 18:37:15.020000,0.9170182,True,0.02
2020-02-01 18:36:54.340,4.41,LEGD,S,2020-02-01 18:37:29.800000,0.6316898,False,
2020-02-01 18:36:54.340,4.41,LIND,P,2020-02-01 18:37:17.030000,0.4924434,True,0.06
2020-02-01 18:36:54.340,4.41,LIND,S,2020-02-01 18:37:32.970000,0.7052685,False,
2022-09-14 01:39:38.730,4.39,AASB,P,2022-09-14 01:40:00.484200,0.7357328,True,-0.0958
2022-09-14 01:39:38.730,4.39,AASB,S,2022-09-14 01:40:17.694200,0.6095642,False,
2022-09-14 01:39:38.730,4.39,ADAM,P,2022-09-14 01:39:47.414200,0.9360421,True,0.0442
2022-09-14 01:39:38.730,4.39,ADAM,S,2022-09-14 01:39:54.254200,0.8025538,False,
2022-09-14 01:39:38.730,4.39,ADAM,P,2022-09-14 01:40:29.044200,0.93841887,False,
2022-09-14 01:39:38.730,4.39,ADAM,S,2022-09-14 01:40:35.754200,0.7815103,False,
2022-09-14 01:39:38.730,4.39,AONC,P,2022-09-14 01:40:13.506860,0.3028578,False,
2022-09-14 01:39:38.730,4.39,BAKR,P,2022-09-14 01:40:10.124200,0.42610824,False,
2022-09-14 01:39:38.730,4.39,BCCR,P,2022-09-14 01:40:03.994199,0.66578174,True,0.074199
2022-09-14 01:39:38.730,4.39,BKS,P,2022-09-14 01:39:52.414538,0.6348207,True,0.054538
2022-09-14 01:39:38.730,4.39,BKS,P,2022-09-14 01:40:34.704538,0.8007482,False,
2022-09-14 01:39:38.730,4.39,BKS,S,2022-09-14 01:40:44.924538,0.31580722,False,
2022-09-14 01:39:38.730,4.39,BKS,S,2022-09-14 01:40:46.004538,0.32309422,False,
2020-12-06 15:03:33.260,4.39,AONC,P,2020-12-06 15:03:55.321860,0.8506521,False,
2020-12-06 15:03:33.260,4.39,AONC,S,2020-12-06 15:04:04.591860,0.36880976,False,
